Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,3679.2,44150.40,CNY
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,China (Ningxia),,Amazon Lambda,0,380.15,4561.80,CNY,"Architecture (x86), Architecture (x86), Amount of ephemeral storage allocated (512 MB), Number of requests (500000 per month)"
My Estimate,China (Ningxia),,DynamoDB on-demand capacity,0,231.71,2780.52,CNY,"Table class (Standard), Average item size (all attributes) (2 KB), Data storage size (100 GB)"
My Estimate,China (Ningxia),,Step Functions - Standard Workflows,0,0,0.00,CNY,"Workflow requests (30 per month), State transitions per workflow (10)"
My Estimate,China (Ningxia),,Amazon API Gateway,0,7.06,84.72,CNY,"HTTP API requests units (millions), Average size of each request (512 KB), REST API request units (millions), Cache memory size (GB) (None), WebSocket message units (thousands), Average message size (32 KB), Requests (1 per month)"
My Estimate,China (Ningxia),,Amazon OpenSearch Service,0,2441.73,29300.76,CNY,"Number of instances (3), Storage for each Amazon OpenSearch Service instance (General Purpose SSD (gp3)), UltraWarm storage cost (0), Nodes (0), Instance type (m7g.large.search), Utilization (On-Demand only)  (100 %Utilized/Month), Instance Node Type (General purpose), Storage Type (EBS Only), Pricing strategy (OnDemand), Number of nodes (0), Instance type (ultrawarm1.large.search), Utilization (On-Demand only) (100 %Utilized/Month), Pricing strategy (OnDemand), Nodes (3), Instance type (m7g.large.search), Utilization (On-Demand only) (100 %Utilized/Month), Instance Node Type (General purpose), Storage Type (EBS Only), Pricing strategy (OnDemand), Storage amount per volume (gp3) (200 GB), Managed storage amount (per UltraWarm instance) (1 TB)"
My Estimate,China (Ningxia),,Amazon EC2 ,0,600.9975,7211.97,CNY,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 1), Advance EC2 instance (m6i.large), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), EBS Storage amount (200 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,China (Ningxia),,S3 Standard,0,17.55,210.60,CNY,S3 Standard storage (100 GB per month)
My Estimate,China (Ningxia),,Data Transfer,0,0,0.00,CNY,



Acknowledgement
"* Amazon Pricing Calculator provides only an estimate of your Amazon Web Services fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of Amazon Web Services."
